id,label,group,other,color,title
0,1854_01,1854,1,red,1854_01
1,1854_02,1854,1,red,1854_02
2,1854_03,1854,1,red,1854_03
3,1854_04,1854,1,red,1854_04
4,1854_05,1854,1,red,1854_05
5,1854_06,1854,1,red,1854_06
6,1854_07,1854,1,red,1854_07
7,1854_08,1854,1,red,1854_08
8,1854_09,1854,1,red,1854_09
9,1854_10,1854,1,red,1854_10
10,1854_11,1854,1,red,1854_11
11,1854_12,1854,1,red,1854_12
12,1854_13,1854,1,red,1854_13
13,1854_14,1854,1,red,1854_14
14,1854_15,1854,1,red,1854_15
15,1854_16,1854,1,red,1854_16
16,1854_17,1854,1,red,1854_17
17,1854_18,1854,1,red,1854_18
18,1854_19,1854,1,red,1854_19
19,1854_20,1854,1,red,1854_20
20,1854_21,1854,1,red,1854_21
21,1854_22,1854,1,red,1854_22
22,1854_23,1854,1,red,1854_23
23,1854_24,1854,1,red,1854_24
24,1854_25,1854,1,red,1854_25
25,1854_26,1854,1,red,1854_26
26,1854_27,1854,1,red,1854_27
27,1854_28,1854,1,red,1854_28
28,1854_29,1854,1,red,1854_29
29,1854_30,1854,1,red,1854_30
30,1854_31,1854,1,red,1854_31
31,1854_32,1854,1,red,1854_32
32,1854_33,1854,1,red,1854_33
33,1854_34,1854,1,red,1854_34
34,1854_35,1854,1,red,1854_35
35,1854_36,1854,1,red,1854_36
36,1854_37,1854,1,red,1854_37
37,1854_38,1854,1,red,1854_38
38,1919_01,1919,2,blue,1919_01
39,1919_02,1919,2,blue,1919_02
40,1919_03,1919,2,blue,1919_03
41,1919_04,1919,2,blue,1919_04
42,1919_05,1919,2,blue,1919_05
43,1919_06,1919,2,blue,1919_06
44,1919_07,1919,2,blue,1919_07
45,1919_08,1919,2,blue,1919_08
46,1919_09,1919,2,blue,1919_09
47,1919_10,1919,2,blue,1919_10
48,1919_11,1919,2,blue,1919_11
49,1919_12,1919,2,blue,1919_12
50,1919_13,1919,2,blue,1919_13
51,1919_14,1919,2,blue,1919_14
52,1919_15,1919,2,blue,1919_15
53,1919_16,1919,2,blue,1919_16
54,1919_17,1919,2,blue,1919_17
55,1919_18,1919,2,blue,1919_18
56,1919_19,1919,2,blue,1919_19
57,1919_20,1919,2,blue,1919_20
58,1919_21,1919,2,blue,1919_21
59,1919_22,1919,2,blue,1919_22
60,1919_23,1919,2,blue,1919_23
61,1919_24,1919,2,blue,1919_24
62,1919_25,1919,2,blue,1919_25
63,1919_26,1919,2,blue,1919_26
64,1919_27,1919,2,blue,1919_27
65,1919_28,1919,2,blue,1919_28
66,1919_29,1919,2,blue,1919_29
67,1919_30,1919,2,blue,1919_30
68,1919_31,1919,2,blue,1919_31
69,1919_32,1919,2,blue,1919_32
70,1919_33 (33a),1919,2,blue,1919_33 (33a)
71,1919_34 (33b),1919,2,blue,1919_34 (33b)
72,1919_35 (34),1919,2,blue,1919_35 (34)
73,1919_36 (35),1919,2,blue,1919_36 (35)
74,1919_37 (36),1919,2,blue,1919_37 (36)
75,1919_38 (37),1919,2,blue,1919_38 (37)
76,1946_01,1946,3,green,1946_01
77,1946_02,1946,3,green,1946_02
78,1946_03,1946,3,green,1946_03
79,1946_04,1946,3,green,1946_04
80,1946_05,1946,3,green,1946_05
81,1946_06,1946,3,green,1946_06
82,1946_07,1946,3,green,1946_07
83,1946_08,1946,3,green,1946_08
84,1946_09,1946,3,green,1946_09
85,1946_10,1946,3,green,1946_10
86,1946_11,1946,3,green,1946_11
87,1946_12,1946,3,green,1946_12
88,1946_13,1946,3,green,1946_13
89,1946_14,1946,3,green,1946_14
90,1946_15,1946,3,green,1946_15
91,1946_16,1946,3,green,1946_16
92,1946_17,1946,3,green,1946_17
93,1946_18,1946,3,green,1946_18
94,1946_19,1946,3,green,1946_19
95,1946_20,1946,3,green,1946_20
96,1946_21,1946,3,green,1946_21
97,1946_22,1946,3,green,1946_22
98,1946_23,1946,3,green,1946_23
99,1946_24,1946,3,green,1946_24
100,1946_25,1946,3,green,1946_25
101,1946_26,1946,3,green,1946_26
102,1946_27,1946,3,green,1946_27
103,1946_28,1946,3,green,1946_28
104,1946_29,1946,3,green,1946_29
105,1946_30,1946,3,green,1946_30
106,1946_31,1946,3,green,1946_31
107,1946_32,1946,3,green,1946_32
108,1946_33,1946,3,green,1946_33
109,1946_34,1946,3,green,1946_34
110,1946_35,1946,3,green,1946_35
111,1946_36,1946,3,green,1946_36
112,1946_37,1946,3,green,1946_37
113,1946_38,1946,3,green,1946_38
114,1964_01,1964,4,yellow,1964_01
115,1964_02,1964,4,yellow,1964_02
116,1964_03,1964,4,yellow,1964_03
117,1964_04,1964,4,yellow,1964_04
118,1964_05,1964,4,yellow,1964_05
119,1964_06,1964,4,yellow,1964_06
120,1964_07,1964,4,yellow,1964_07
121,1964_08,1964,4,yellow,1964_08
122,1964_09,1964,4,yellow,1964_09
123,1964_10,1964,4,yellow,1964_10
124,1964_11,1964,4,yellow,1964_11
125,1964_12,1964,4,yellow,1964_12
126,1964_13,1964,4,yellow,1964_13
127,1964_14,1964,4,yellow,1964_14
128,1964_15,1964,4,yellow,1964_15
129,1964_16,1964,4,yellow,1964_16
130,1964_17,1964,4,yellow,1964_17
131,1964_18,1964,4,yellow,1964_18
132,1964_19,1964,4,yellow,1964_19
133,1964_20,1964,4,yellow,1964_20
134,1964_21,1964,4,yellow,1964_21
135,1964_22,1964,4,yellow,1964_22
136,1964_23,1964,4,yellow,1964_23
137,1964_24,1964,4,yellow,1964_24
138,1964_25,1964,4,yellow,1964_25
139,1964_26,1964,4,yellow,1964_26
140,1964_27,1964,4,yellow,1964_27
141,1964_28,1964,4,yellow,1964_28
142,1964_29,1964,4,yellow,1964_29
143,1964_30,1964,4,yellow,1964_30
144,1964_31,1964,4,yellow,1964_31
145,1964_32,1964,4,yellow,1964_32
146,1964_33,1964,4,yellow,1964_33
147,1964_34,1964,4,yellow,1964_34
148,1964_35,1964,4,yellow,1964_35
149,1964_36,1964,4,yellow,1964_36
150,1964_37,1964,4,yellow,1964_37
151,1964_38,1964,4,yellow,1964_38
152,1966_01,1966,5,black,1966_01
153,1966_02,1966,5,black,1966_02
154,1966_03,1966,5,black,1966_03
155,1966_04,1966,5,black,1966_04
156,1966_05,1966,5,black,1966_05
157,1966_06,1966,5,black,1966_06
158,1966_07,1966,5,black,1966_07
159,1966_08,1966,5,black,1966_08
160,1966_09,1966,5,black,1966_09
161,1966_10,1966,5,black,1966_10
162,1966_11,1966,5,black,1966_11
163,1966_12,1966,5,black,1966_12
164,1966_13,1966,5,black,1966_13
165,1966_14,1966,5,black,1966_14
166,1966_15,1966,5,black,1966_15
167,1966_16,1966,5,black,1966_16
168,1966_17,1966,5,black,1966_17
169,1966_18,1966,5,black,1966_18
170,1966_19,1966,5,black,1966_19
171,1966_20,1966,5,black,1966_20
172,1966_21,1966,5,black,1966_21
173,1966_22,1966,5,black,1966_22
174,1966_23,1966,5,black,1966_23
175,1966_24,1966,5,black,1966_24
176,1966_25,1966,5,black,1966_25
177,1966_26,1966,5,black,1966_26
178,1966_27,1966,5,black,1966_27
179,1966_28,1966,5,black,1966_28
180,1966_29,1966,5,black,1966_29
181,1966_30,1966,5,black,1966_30
182,1966_31,1966,5,black,1966_31
183,1966_32,1966,5,black,1966_32
184,1966_33,1966,5,black,1966_33
185,1966_34,1966,5,black,1966_34
186,1966_35,1966,5,black,1966_35
187,1966_36,1966,5,black,1966_36
188,1966_37,1966,5,black,1966_37
189,1966_38,1966,5,black,1966_38
190,2008_01,2008,6,pink,2008_01
191,2008_02,2008,6,pink,2008_02
192,2008_03,2008,6,pink,2008_03
193,2008_04,2008,6,pink,2008_04
194,2008_05,2008,6,pink,2008_05
195,2008_06,2008,6,pink,2008_06
196,2008_07,2008,6,pink,2008_07
197,2008_08,2008,6,pink,2008_08
198,2008_09,2008,6,pink,2008_09
199,2008_10,2008,6,pink,2008_10
200,2008_11,2008,6,pink,2008_11
201,2008_12,2008,6,pink,2008_12
202,2008_13,2008,6,pink,2008_13
203,2008_14,2008,6,pink,2008_14
204,2008_15,2008,6,pink,2008_15
205,2008_16,2008,6,pink,2008_16
206,2008_17,2008,6,pink,2008_17
207,2008_18,2008,6,pink,2008_18
208,2008_19,2008,6,pink,2008_19
209,2008_20,2008,6,pink,2008_20
210,2008_21,2008,6,pink,2008_21
211,2008_22,2008,6,pink,2008_22
212,2008_23,2008,6,pink,2008_23
213,2008_24,2008,6,pink,2008_24
214,2008_25,2008,6,pink,2008_25
215,2008_26,2008,6,pink,2008_26
216,2008_27,2008,6,pink,2008_27
217,2008_28,2008,6,pink,2008_28
218,2008_29,2008,6,pink,2008_29
219,2008_30,2008,6,pink,2008_30
220,2008_31,2008,6,pink,2008_31
221,2008_32,2008,6,pink,2008_32
222,2008_33,2008,6,pink,2008_33
223,2008_34,2008,6,pink,2008_34
224,2008_35,2008,6,pink,2008_35
225,2008_36,2008,6,pink,2008_36
226,2008_37,2008,6,pink,2008_37
227,2008_38,2008,6,pink,2008_38
