Source,Target,Weight,Type
1854_01,1964_01,2,undirected
1854_01,1966_01,4,undirected
1854_01,2008_01,1,undirected
1854_02,1946_02,2,undirected
1854_02,1964_02,3,undirected
1854_02,2008_02,3,undirected
1854_03,1946_03,2,undirected
1854_03,1964_03,4,undirected
1854_03,1966_03,3,undirected
1854_03,2008_03,5,undirected
1854_04,1919_04,1,undirected
1854_04,1946_04,3,undirected
1854_04,1966_04,2,undirected
1854_05,1919_05,3,undirected
1854_05,1964_05,4,undirected
1854_05,1966_05,3,undirected
1854_06,1919_06,2,undirected
1854_06,1946_06,3,undirected
1854_06,1964_06,2,undirected
1854_06,1966_06,3,undirected
1854_06,2008_06,5,undirected
1854_07,1946_07,6,undirected
1854_07,1964_07,2,undirected
1854_07,2008_07,1,undirected
1854_08,1919_08,2,undirected
1854_08,1964_08,3,undirected
1854_08,1966_08,3,undirected
1854_09,1919_09,3,undirected
1854_09,1946_09,2,undirected
1854_09,1964_09,1,undirected
1854_09,1966_09,4,undirected
1854_09,2008_09,3,undirected
1854_10,1946_10,3,undirected
1854_10,1964_10,3,undirected
1854_10,1966_10,5,undirected
1854_10,2008_10,2,undirected
1854_11,1919_11,5,undirected
1854_11,1946_11,1,undirected
1854_11,1966_11,3,undirected
1854_11,2008_11,1,undirected
1854_12,1919_12,2,undirected
1854_12,1964_12,5,undirected
1854_12,1966_12,2,undirected
1854_12,2008_12,3,undirected
1854_13,1964_13,2,undirected
1854_13,1966_13,4,undirected
1854_13,2008_13,3,undirected
1854_14,1946_14,3,undirected
1854_14,1964_14,4,undirected
1854_14,1966_14,2,undirected
1854_15,1919_15,2,undirected
1854_15,1946_15,5,undirected
1854_15,1964_15,1,undirected
1854_15,1966_15,4,undirected
1854_15,2008_15,2,undirected
1854_16,1946_16,4,undirected
1854_16,1964_16,2,undirected
1854_16,2008_16,1,undirected
1854_17,1946_17,1,undirected
1854_17,1964_17,2,undirected
1854_17,2008_17,4,undirected
1854_18,1946_18,2,undirected
1854_18,1964_18,4,undirected
1854_18,1966_18,1,undirected
1854_18,2008_18,2,undirected
1854_19,1946_19,4,undirected
1854_19,1964_19,2,undirected
1854_19,2008_19,1,undirected
1854_20,1946_20,3,undirected
1854_20,1964_20,1,undirected
1854_20,1966_20,4,undirected
1854_21,1919_21,3,undirected
1854_21,1946_21,4,undirected
1854_21,1964_21,2,undirected
1854_21,1966_21,1,undirected
1854_22,1964_22,1,undirected
1854_22,1966_22,2,undirected
1854_22,2008_22,4,undirected
1854_23,1946_23,5,undirected
1854_23,1964_23,2,undirected
1854_23,1966_23,1,undirected
1854_24,1919_24,3,undirected
1854_24,1946_24,1,undirected
1854_24,1964_24,4,undirected
1854_24,1966_24,2,undirected
1854_24,2008_24,2,undirected
1854_25,1946_25,1,undirected
1854_25,1964_25,6,undirected
1854_25,1966_25,2,undirected
1854_25,2008_25,2,undirected
1854_26,1946_26,6,undirected
1854_26,1964_26,2,undirected
1854_26,1966_26,1,undirected
1854_27,1919_27,5,undirected
1854_27,1946_27,4,undirected
1854_27,1964_27,4,undirected
1854_27,1966_27,1,undirected
1854_27,2008_27,1,undirected
1854_28,1919_28,2,undirected
1854_28,1966_28,3,undirected
1854_28,2008_28,4,undirected
1854_29,1919_29,2,undirected
1854_29,1966_29,3,undirected
1854_29,2008_29,1,undirected
1854_30,1964_30,5,undirected
1854_30,1966_30,2,undirected
1854_30,2008_30,2,undirected
1854_31,1964_31,2,undirected
1854_31,1966_31,4,undirected
1854_31,2008_31,2,undirected
1854_32,1964_32,1,undirected
1854_32,1966_32,2,undirected
1854_32,2008_32,4,undirected
1854_33,1964_33,1,undirected
1854_33,1966_33,3,undirected
1854_33,2008_33,4,undirected
1854_34,1854_35,1,undirected
1854_34,1964_34,3,undirected
1854_34,1966_34,1,undirected
1854_34,2008_34,3,undirected
1854_35,1854_34,1,undirected
1854_35,1964_35,3,undirected
1854_35,1966_35,2,undirected
1854_36,1919_36 (35),2,undirected
1854_36,1964_36,3,undirected
1854_36,1966_36,4,undirected
1854_37,1964_37,3,undirected
1854_37,1966_37,3,undirected
1854_37,2008_37,1,undirected
1854_38,1919_38 (37),6,undirected
1854_38,1964_38,2,undirected
1854_38,1966_38,4,undirected
1854_38,2008_38,1,undirected
1919_01,1946_01,6,undirected
1919_01,1964_01,3,undirected
1919_01,1966_01,1,undirected
1919_02,1946_02,1,undirected
1919_02,1966_02,2,undirected
1919_02,2008_02,3,undirected
1919_03,1964_03,3,undirected
1919_03,1966_03,1,undirected
1919_03,2008_03,2,undirected
1919_04,1854_04,1,undirected
1919_04,1946_04,6,undirected
1919_04,1964_04,4,undirected
1919_04,1966_04,2,undirected
1919_05,1854_05,3,undirected
1919_05,1946_05,6,undirected
1919_05,2008_05,1,undirected
1919_06,1854_06,2,undirected
1919_06,1946_06,5,undirected
1919_06,1964_06,1,undirected
1919_07,1946_07,4,undirected
1919_07,1964_07,6,undirected
1919_07,2008_07,1,undirected
1919_08,1854_08,2,undirected
1919_08,1946_08,6,undirected
1919_08,2008_08,5,undirected
1919_09,1854_09,3,undirected
1919_09,1946_09,6,undirected
1919_09,1966_09,1,undirected
1919_10,1946_10,3,undirected
1919_10,1966_10,2,undirected
1919_10,2008_10,1,undirected
1919_11,1854_11,5,undirected
1919_11,1946_11,6,undirected
1919_11,1964_11,2,undirected
1919_11,2008_11,1,undirected
1919_12,1854_12,2,undirected
1919_12,1946_12,4,undirected
1919_12,1964_12,3,undirected
1919_13,1946_13,6,undirected
1919_13,1964_13,1,undirected
1919_13,2008_13,2,undirected
1919_14,1946_14,6,undirected
1919_14,1964_14,1,undirected
1919_14,1966_14,4,undirected
1919_14,2008_14,1,undirected
1919_15,1854_15,2,undirected
1919_15,1946_15,5,undirected
1919_15,1966_15,1,undirected
1919_16,1946_16,5,undirected
1919_16,1964_16,4,undirected
1919_16,1966_16,2,undirected
1919_16,2008_16,1,undirected
1919_17,1946_17,4,undirected
1919_17,1964_17,4,undirected
1919_17,1966_17,1,undirected
1919_17,2008_17,2,undirected
1919_18,1946_18,4,undirected
1919_18,1964_18,3,undirected
1919_18,2008_18,2,undirected
1919_19,1946_19,5,undirected
1919_19,1964_19,2,undirected
1919_19,2008_19,6,undirected
1919_20,1946_20,4,undirected
1919_20,1964_20,3,undirected
1919_20,2008_20,4,undirected
1919_21,1854_21,3,undirected
1919_21,1946_21,1,undirected
1919_21,1966_21,2,undirected
1919_22,1964_22,1,undirected
1919_22,1966_22,2,undirected
1919_22,2008_22,3,undirected
1919_23,1946_23,1,undirected
1919_23,1964_23,3,undirected
1919_23,1966_23,2,undirected
1919_24,1854_24,3,undirected
1919_24,1964_24,1,undirected
1919_24,1966_24,2,undirected
1919_25,1919_27,2,undirected
1919_25,1946_25,1,undirected
1919_25,1964_25,3,undirected
1919_26,1964_26,4,undirected
1919_26,1966_26,2,undirected
1919_26,2008_26,1,undirected
1919_27,1854_27,5,undirected
1919_27,1919_25,2,undirected
1919_27,1964_27,2,undirected
1919_27,1966_27,1,undirected
1919_28,1854_28,2,undirected
1919_28,1946_28,2,undirected
1919_28,1964_28,1,undirected
1919_28,1966_28,2,undirected
1919_28,2008_28,3,undirected
1919_29,1854_29,2,undirected
1919_29,1946_29,2,undirected
1919_29,1964_29,3,undirected
1919_29,1966_29,4,undirected
1919_29,2008_29,2,undirected
1919_30,1946_30,1,undirected
1919_30,1964_30,1,undirected
1919_30,1966_30,2,undirected
1919_30,2008_30,4,undirected
1919_31,1946_31,2,undirected
1919_31,1964_31,4,undirected
1919_31,1966_31,2,undirected
1919_32,1964_32,4,undirected
1919_32,1966_32,2,undirected
1919_32,2008_32,1,undirected
1919_33 (33a),1946_33,1,undirected
1919_33 (33a),1964_33,3,undirected
1919_33 (33a),1966_33,1,undirected
1919_33 (33a),2008_33,3,undirected
1919_34 (33b),1964_34,2,undirected
1919_34 (33b),1966_34,2,undirected
1919_34 (33b),2008_34,3,undirected
1919_35 (34),1946_35,3,undirected
1919_35 (34),1964_35,1,undirected
1919_35 (34),1966_35,3,undirected
1919_35 (34),2008_35,3,undirected
1919_36 (35),1854_36,2,undirected
1919_36 (35),1946_36,1,undirected
1919_36 (35),1966_36,3,undirected
1919_36 (35),2008_36,3,undirected
1919_37 (36),1964_37,4,undirected
1919_37 (36),1966_37,2,undirected
1919_37 (36),2008_37,2,undirected
1919_38 (37),1854_38,6,undirected
1919_38 (37),1946_38,5,undirected
1919_38 (37),1964_38,4,undirected
1919_38 (37),2008_38,2,undirected
1946_01,1919_01,6,undirected
1946_01,1964_01,2,undirected
1946_01,1966_01,1,undirected
1946_02,1854_02,2,undirected
1946_02,1919_02,1,undirected
1946_02,1964_02,4,undirected
1946_02,1966_02,1,undirected
1946_02,2008_02,2,undirected
1946_03,1854_03,2,undirected
1946_03,1966_03,3,undirected
1946_03,2008_03,1,undirected
1946_04,1854_04,3,undirected
1946_04,1919_04,6,undirected
1946_04,1964_04,1,undirected
1946_04,2008_04,4,undirected
1946_05,1919_05,6,undirected
1946_05,1964_05,1,undirected
1946_05,2008_05,3,undirected
1946_06,1854_06,3,undirected
1946_06,1919_06,5,undirected
1946_06,2008_06,1,undirected
1946_07,1854_07,6,undirected
1946_07,1919_07,4,undirected
1946_07,1966_07,1,undirected
1946_07,2008_07,2,undirected
1946_08,1919_08,6,undirected
1946_08,1964_08,1,undirected
1946_08,2008_08,2,undirected
1946_09,1854_09,2,undirected
1946_09,1919_09,6,undirected
1946_09,2008_09,1,undirected
1946_10,1854_10,3,undirected
1946_10,1919_10,3,undirected
1946_10,1964_10,1,undirected
1946_10,2008_10,2,undirected
1946_11,1854_11,1,undirected
1946_11,1919_11,6,undirected
1946_11,2008_11,2,undirected
1946_12,1919_12,4,undirected
1946_12,1964_12,1,undirected
1946_12,1966_12,2,undirected
1946_13,1919_13,6,undirected
1946_13,1964_13,1,undirected
1946_13,2008_13,2,undirected
1946_14,1854_14,3,undirected
1946_14,1919_14,6,undirected
1946_14,1964_14,1,undirected
1946_15,1854_15,5,undirected
1946_15,1919_15,5,undirected
1946_15,2008_15,1,undirected
1946_16,1854_16,4,undirected
1946_16,1919_16,5,undirected
1946_16,1964_16,2,undirected
1946_17,1854_17,1,undirected
1946_17,1919_17,4,undirected
1946_17,1964_17,2,undirected
1946_17,2008_17,1,undirected
1946_18,1854_18,2,undirected
1946_18,1919_18,4,undirected
1946_18,1964_18,1,undirected
